treeID,plot,family,genus,species,genspec,dbh,diameter,srl,rtd,rbi,nroot,toughness,sla,nleaf,pleaf,wsg,vd,d,ks_theo,toughness_specmean,sla_specmean,nleaf_specmean,pleaf_specmean,wsg_specmean,vd_specmean,d_specmean,ks_theo_specmean,tpi,elevation,TPI,Dim1,Dim2,order,clade
3659,SF-LS6,Meliaceae,Guarea,kunthiana,Guarea kunthiana,14.2,0.9728,5.442862174219301,0.24718514219384793,3.0024394820791893,22.82152,NA,NA,18.68431,0.434494170294176,0.577,5.10341186567537,109.857169384175,25.6808613135704,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.347906813870844,2039,-0.347906813870844,-3.826868601726322,1.1498865205735564,Sapindales,Rosids
3762,SF-MS5,Meliaceae,Guarea,kunthiana,Guarea kunthiana,16.5,1.1752,4.464115486635381,0.20653181626632952,0.886709999666341,25.02581,NA,88.0624267788037,26.85235,1.76517696361689,0.495,5.60166366730368,95.2140744134496,18.831829587987,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.29218638831365,1971,-0.29218638831365,-1.31760829425014,-0.9837062081604165,Sapindales,Rosids
890,SF-LS1,Meliaceae,Guarea,kunthiana,Guarea kunthiana,18.7,1.0707,5.466398601398601,0.20317592979523613,0.8992524916631016,21.29844,NA,NA,NA,NA,NA,NA,NA,NA,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.01030582060977,2002,-0.01030582060977,0.972550577760726,0.24506549543816084,Sapindales,Rosids
4094,SF-LS2,Meliaceae,Guarea,kunthiana,Guarea kunthiana,61.8,1.1447,4.609175984443365,0.21086622245002562,0.6855762664043898,19.5788,NA,NA,NA,NA,0.626,4.7027483218554,128.095839874862,51.0914238206839,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.538349468730141,2026,-0.538349468730141,-0.8080554644154119,-0.6687561521705936,Sapindales,Rosids
896,SF-LS1,Meliaceae,Guarea,kunthiana,Guarea kunthiana,47.4,1.1393,5.970980969197566,0.16426039316790203,0.8017325308560237,25.97857,NA,NA,NA,NA,NA,NA,NA,NA,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.01030582060977,2002,-0.01030582060977,0.972550577760726,0.24506549543816084,Sapindales,Rosids
3987,SF-MS2,Meliaceae,Guarea,kunthiana,Guarea kunthiana,28.55,1.2452,3.798271198830409,0.21619913077834849,0.5821746774223038,23.51111,NA,NA,21.27194,1.15114571772839,0.57,5.16395435549047,158.016318066341,112.913360543584,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.300753699130654,1950,-0.300753699130654,-4.9208685231153515,2.105644435740456,Sapindales,Rosids
4021,SF-LS3,Meliaceae,Guarea,kunthiana,Guarea kunthiana,43.8,0.89,6.699043015949734,0.2400232018561485,1.432145866762095,20.29074,NA,NA,NA,NA,NA,NA,NA,NA,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.332169511902799,2089,-0.332169511902799,0.8452284902743088,-0.8556291326530685,Sapindales,Rosids
9002,SF-LS3,Meliaceae,Guarea,kunthiana,Guarea kunthiana,NA,1.0324,5.48809124386252,0.21763134461264472,1.163059876335422,23.84633,NA,NA,NA,NA,NA,NA,NA,NA,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.332169511902799,2089,-0.332169511902799,0.8452284902743088,-0.8556291326530685,Sapindales,Rosids
4090,SF-LS2,Meliaceae,Guarea,kunthiana,Guarea kunthiana,53.5,1.2702,4.210191680261012,0.1874617737003058,2.1117094287825995,21.38707,NA,NA,NA,NA,NA,NA,NA,NA,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.538349468730141,2026,-0.538349468730141,-0.8080554644154119,-0.6687561521705936,Sapindales,Rosids
4131,SF-MS1,Anacardiaceae,Tapirira,guianensis,Tapirira guianensis,19.85,0.6491,11.433646616541354,0.2642384105960265,1.638526750730213,15.07157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.39719,0.950023424637663,0.669996998217243,6.03048699754909,89.9790395089355,15.1794869208144,-0.018355948187606,2034,-0.018355948187606,0.8072607089448341,-0.41681010010703684,Sapindales,Rosids
